UAA Outdoor Performance List
100 Meters

9,"Asare, Jason",SO-2,U. of Chicago,11.12,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.3
10,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0
11,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
12,"Cartwright, Keith",SR-4,Case Western,11.23,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
13,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
13,"Binagi, Elvin",SO-2,Washington U.,11.24,Wash U Invite,"Mar 31, 2023",4.3
15,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
16,"Agrinya, Jonathan",FR-1,Case Western,11.29,OWU Marv Frye Invitational,"Apr 8, 2023",-0.9
16,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
18,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
19,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
20,"Kovin, Jackson",FR-1,Emory,11.40,SWU GottaRun Invite 2023,"Apr 1, 2023",-0.1
21,"Schiappa, Leo",FR-1,Brandeis,11.42,2023 UMass-Lowell Invitational,"Mar 24, 2023",3.4
22,"Garin, Verne",SR-4,Carnegie Mellon,11.50,Washington & Lee Carnival,"Mar 17, 2023",-1.1
23,"Yue, Matthew",SO-2,Brandeis,11.52,Regis Spring Classic - 2023,"Apr 6, 2023",1.0
24,"Xia, Jack",SO-2,Case Western,11.57,OWU Marv Frye Invitational,"Apr 8, 2023",0.7
25,"Boucher, Pierce",SR-4,Case Western,11.62,Bob Kahn Invitational,"Mar 31, 2023",0.4

"10,000 Meters"

1,"Moore, Matt",SR-4,Washington U.,10.71,Wash U 5 Way,"Mar 25, 2023",3.0
2,"Price, Jackson",SO-2,Emory,10.86,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Brandstadter, Henry",FR-1,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Ryba, Sam",SO-2,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
5,"Callow, Brett",SO-2,Case Western,11.00,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
6,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2
6,"Page, Carson",FR-1,Washington U.,11.02,Wash U Invite,"Mar 31, 2023",4.3
8,"Mills, Harry",SR-4,Washington U.,11.05,Wash U 5 Way,"Mar 25, 2023",3.0
9,"Asare, Jason",SO-2,U. of Chicago,11.12,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.3
10,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0
11,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
12,"Cartwright, Keith",SR-4,Case Western,11.23,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
13,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
13,"Binagi, Elvin",SO-2,Washington U.,11.24,Wash U Invite,"Mar 31, 2023",4.3
15,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
16,"Agrinya, Jonathan",FR-1,Case Western,11.29,OWU Marv Frye Invitational,"Apr 8, 2023",-0.9
16,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
18,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
19,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
20,"Kovin, Jackson",FR-1,Emory,11.40,SWU GottaRun Invite 2023,"Apr 1, 2023",-0.1
21,"Schiappa, Leo",FR-1,Brandeis,11.42,2023 UMass-Lowell Invitational,"Mar 24, 2023",3.4
22,"Garin, Verne",SR-4,Carnegie Mellon,11.50,Washington & Lee Carnival,"Mar 17, 2023",-1.1
23,"Yue, Matthew",SO-2,Brandeis,11.52,Regis Spring Classic - 2023,"Apr 6, 2023",1.0
24,"Xia, Jack",SO-2,Case Western,11.57,OWU Marv Frye Invitational,"Apr 8, 2023",0.7
25,"Boucher, Pierce",SR-4,Case Western,11.62,Bob Kahn Invitational,"Mar 31, 2023",0.4

110 Hurdles

1,"Moore, Matt",SR-4,Washington U.,10.71,Wash U 5 Way,"Mar 25, 2023",3.0
2,"Price, Jackson",SO-2,Emory,10.86,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Brandstadter, Henry",FR-1,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Ryba, Sam",SO-2,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
5,"Callow, Brett",SO-2,Case Western,11.00,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
6,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2
6,"Page, Carson",FR-1,Washington U.,11.02,Wash U Invite,"Mar 31, 2023",4.3
8,"Mills, Harry",SR-4,Washington U.,11.05,Wash U 5 Way,"Mar 25, 2023",3.0
9,"Asare, Jason",SO-2,U. of Chicago,11.12,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.3
10,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0
11,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
12,"Cartwright, Keith",SR-4,Case Western,11.23,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
13,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
13,"Binagi, Elvin",SO-2,Washington U.,11.24,Wash U Invite,"Mar 31, 2023",4.3
15,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
16,"Agrinya, Jonathan",FR-1,Case Western,11.29,OWU Marv Frye Invitational,"Apr 8, 2023",-0.9
16,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
18,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
19,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
20,"Kovin, Jackson",FR-1,Emory,11.40,SWU GottaRun Invite 2023,"Apr 1, 2023",-0.1
21,"Schiappa, Leo",FR-1,Brandeis,11.42,2023 UMass-Lowell Invitational,"Mar 24, 2023",3.4
22,"Garin, Verne",SR-4,Carnegie Mellon,11.50,Washington & Lee Carnival,"Mar 17, 2023",-1.1
23,"Yue, Matthew",SO-2,Brandeis,11.52,Regis Spring Classic - 2023,"Apr 6, 2023",1.0
24,"Xia, Jack",SO-2,Case Western,11.57,OWU Marv Frye Invitational,"Apr 8, 2023",0.7
25,"Boucher, Pierce",SR-4,Case Western,11.62,Bob Kahn Invitational,"Mar 31, 2023",0.4

400 Hurdles

1,"Moore, Matt",SR-4,Washington U.,10.71,Wash U 5 Way,"Mar 25, 2023",3.0
2,"Price, Jackson",SO-2,Emory,10.86,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Brandstadter, Henry",FR-1,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Ryba, Sam",SO-2,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
5,"Callow, Brett",SO-2,Case Western,11.00,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
6,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2
6,"Page, Carson",FR-1,Washington U.,11.02,Wash U Invite,"Mar 31, 2023",4.3
8,"Mills, Harry",SR-4,Washington U.,11.05,Wash U 5 Way,"Mar 25, 2023",3.0
9,"Asare, Jason",SO-2,U. of Chicago,11.12,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.3
10,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0
11,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
12,"Cartwright, Keith",SR-4,Case Western,11.23,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
13,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
13,"Binagi, Elvin",SO-2,Washington U.,11.24,Wash U Invite,"Mar 31, 2023",4.3
15,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
16,"Agrinya, Jonathan",FR-1,Case Western,11.29,OWU Marv Frye Invitational,"Apr 8, 2023",-0.9
16,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
18,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
19,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
20,"Kovin, Jackson",FR-1,Emory,11.40,SWU GottaRun Invite 2023,"Apr 1, 2023",-0.1
21,"Schiappa, Leo",FR-1,Brandeis,11.42,2023 UMass-Lowell Invitational,"Mar 24, 2023",3.4
22,"Garin, Verne",SR-4,Carnegie Mellon,11.50,Washington & Lee Carnival,"Mar 17, 2023",-1.1
23,"Yue, Matthew",SO-2,Brandeis,11.52,Regis Spring Classic - 2023,"Apr 6, 2023",1.0
24,"Xia, Jack",SO-2,Case Western,11.57,OWU Marv Frye Invitational,"Apr 8, 2023",0.7
25,"Boucher, Pierce",SR-4,Case Western,11.62,Bob Kahn Invitational,"Mar 31, 2023",0.4

3000 Steeplechase

1,"Moore, Matt",SR-4,Washington U.,10.71,Wash U 5 Way,"Mar 25, 2023",3.0
2,"Price, Jackson",SO-2,Emory,10.86,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Brandstadter, Henry",FR-1,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",1.1
3,"Ryba, Sam",SO-2,Emory,10.98,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
5,"Callow, Brett",SO-2,Case Western,11.00,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
6,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2
6,"Page, Carson",FR-1,Washington U.,11.02,Wash U Invite,"Mar 31, 2023",4.3
8,"Mills, Harry",SR-4,Washington U.,11.05,Wash U 5 Way,"Mar 25, 2023",3.0
9,"Asare, Jason",SO-2,U. of Chicago,11.12,NCC 1st Chance Invitational - 2023,"Apr 7, 2023",1.3
10,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0
11,"Diaz, Aden",FR-1,Emory,11.20,Emory Spring Break Classic 2023,"Mar 17, 2023",0.5
12,"Cartwright, Keith",SR-4,Case Western,11.23,OWU Marv Frye Invitational,"Apr 8, 2023",1.1
13,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2
13,"Binagi, Elvin",SO-2,Washington U.,11.24,Wash U Invite,"Mar 31, 2023",4.3
15,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6
16,"Agrinya, Jonathan",FR-1,Case Western,11.29,OWU Marv Frye Invitational,"Apr 8, 2023",-0.9
16,"Bates, Josh",FR-1,Case Western,11.29,Bob Kahn Invitational,"Mar 31, 2023",0.4
18,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6
19,"Perez, Juan",SR-4,Case Western,11.32,Bob Kahn Invitational,"Mar 31, 2023",2.0
20,"Kovin, Jackson",FR-1,Emory,11.40,SWU GottaRun Invite 2023,"Apr 1, 2023",-0.1
21,"Schiappa, Leo",FR-1,Brandeis,11.42,2023 UMass-Lowell Invitational,"Mar 24, 2023",3.4
22,"Garin, Verne",SR-4,Carnegie Mellon,11.50,Washington & Lee Carnival,"Mar 17, 2023",-1.1
