OAC Indoor Performance List
60 Meters

22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

400 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

500 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

800 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

1000 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

Mile

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

3000 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

5000 Meters

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
15,"Dean, Jordan",SO-2,Ohio Northern,7.10,Muskie Meet #3,"Jan 28, 2023"
15,"Cline, Michael",FR-1,Mount Union,7.10,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
17,"Greer, Brett",FR-1,Ohio Northern,7.11,Larry Cole Invitational- 2023,"Jan 20, 2023"
17,"Burrey, Brady",FR-1,Mount Union,7.11,SPIRE Midwest Open 2023,"Jan 21, 2023"
19,"Kesler, Hunter",SR-4,Ohio Northern,7.12,Muskie Meet #3,"Jan 28, 2023"
19,"Bomback, Caden",FR-1,Baldwin Wallace,"7.12
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
19,"Lehrer, Carson",SO-2,Heidelberg,7.12,Tiffin University Open,"Dec 9, 2022"
22,"Love, Mikel",FR-1,Baldwin Wallace,"7.13
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
23,"Berry, Brandon",SR-4,Ohio Northern,7.14,Muskie Meet #3,"Jan 28, 2023"
23,"Gibson, Haden",SO-2,Mount Union,7.14,Mount Union Toy Drive,"Dec 3, 2022"
25,"Trammell, Jalen",JR-3,Heidelberg,"7.15
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"

60 Hurdles

1,"McVicker, Andrew",SR-4,Mount Union,6.87,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
2,"Storm, Jared",JR-3,Mount Union,"6.88
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Clark, Garrett",JR-3,John Carroll,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
3,"Mcentyre, Jake",FR-1,Heidelberg,"6.92
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
5,"Glenn, Dom",SO-2,Capital,"6.93
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
6,"Souza, Vini",SR-4,Ohio Northern,6.95,Polar Bear Final Qualifier- 2023,"Mar 3, 2023"
7,"Kartsonas, Jimmy",SO-2,John Carroll,6.97,Ed Finnigan Greater Cleveland Meet,"Feb 17, 2023"
8,"Jackson, Devontae",FR-1,Baldwin Wallace,"6.99
(55)",Baldwin Wallace Mid-Feb,"Feb 10, 2023"
9,"Paige, Brandon",SO-2,Mount Union,"7.01
(55)",2023 OAC Indoor Track & Field Championships,"Feb 24, 2023"
10,"Malloy, Aiden",SO-2,Mount Union,7.02,All-Ohio DIII Indoor Track & Field Championships,"Feb 11, 2023"
11,"Jacobs, Ollie",SR-4,Ohio Northern,7.03,Tiffin University Open 2,"Feb 11, 2023"
12,"Faggs, Kaedan",FR-1,Baldwin Wallace,7.06,Mrs. G Invitational,"Feb 4, 2023"
13,"Zeren, Vincent",SO-2,Otterbein,7.08,Muskie Meet #3,"Jan 28, 2023"
13,"Young, Ishmael",SO-2,Capital,7.08,Comets Invitational,"Jan 28, 2023"
